4191,No,1976-1979
9124,No,2010-2017
10219,No,2000-2009
10240,No,1980-1989
11419,No,1990-1999
12685,Yes,1976-1979
16258,Yes,2010-2017
19094,Yes,2000-2009
25098,Yes,1990-1999
26752,Yes,1980-1989
