18518,No,1976-1979
39391,No,2010-2017
50341,No,2000-2009
53708,No,1980-1989
59166,Yes,1976-1979
64285,No,1990-1999
87613,Yes,2010-2017
112177,Yes,2000-2009
139731,Yes,1990-1999
144823,Yes,1980-1989
